id,name,rating,userRatingCount,websiteUri,formattedAddress,latitude,longitude
"ChIJa9kuYyRewokRuRxNwNm354Q","Estelle Hair Studio","4.7","740","http://estelleny.com/","68-60 Austin St #7, Forest Hills, NY 11375, USA","40.722135099999996","-73.8506365"
"ChIJiXms4TZewokRMq-XuNF2GEY","Tribeca Barber & Beauty School, LLC","4.4","535","https://www.tribecabeautyschool.com/","95-16 63rd Rd, Rego Park, NY 11374, USA","40.730531","-73.86133939999999"
"ChIJx-oV2mVhwokRP2geqIdSCUY","The Dermatology Specialists - Rego Park","4.5","830","https://www.thedermspecs.com/locations/rego-park/","100-26 Queens Blvd, Queens, NY 11375, USA","40.726396099999995","-73.8532778"
"ChIJl0uR18xfwokR3HxivZCf3LA","Forest Hills Spa","4","336","http://www.fhspa.com/","59-21 Calloway St, Corona, NY 11368, USA","40.7376662","-73.8566546"
"ChIJlzfwiTdewokRE_94er6j2Oo","Rego Beauty Spa","4.5","450","https://sophia419256569.wixsite.com/rego-beauty-spa","93-07 63rd Dr, Rego Park, NY 11374, USA","40.7283506","-73.86372829999999"
"ChIJNSM7V8lfwokRA8S35AV6o1c","Pink of Queens","4.9","222","http://pinkofqueens.com/","97-11 64th Rd, Rego Park, NY 11374, USA","40.7294802","-73.85909749999999"
"ChIJ-es8uCZewokRdLC-wpZlCz0","Asian Spa","4.1","260","http://www.asianspany.com/","106-20 70th Ave, Forest Hills, NY 11375, USA","40.7214646","-73.846425"
"ChIJ_wcy2TVewokRdyjFNcqG5dw","European Wax Center","4.9","1618","https://locations.waxcenter.com/ny/queens/rego-park-0418.html?utm_source=google&utm_medium=search&utm_content=local-listing&utm_campaign=gmb-listing&utm_term=ewc-gmb","61-35 Junction Blvd, Rego Park, NY 11374, USA","40.73323140000001","-73.8638158"
"ChIJc2bIEQVfwokREUt_hPt8u_k","DidiNailsNY Russian manicure","4.7","341","https://mysite.vagaro.com/didinailsnyqueens/select-location","87-11 Grand Ave 2nd floor, Queens, NY 11373, USA","40.7365156","-73.8782852"
"ChIJ64G5HzhewokR25uzeVBrppM","QQ Nail Spa","3.5","238","","63-51 Wetherole St, Rego Park, NY 11374, USA","40.7282807","-73.8640128"
