id,name,rating,userRatingCount,websiteUri,formattedAddress,latitude,longitude
"ChIJr_jr2gi0RIYRrg_EczRC2Ew","Popeyes Louisiana Kitchen","4","1878","https://www.popeyes.com/store-locator/store/restaurant_84968","2919 Montopolis Dr, Austin, TX 78741, USA","30.2138967","-97.71068350000002"
"ChIJQ08Xngm0RIYRtjMIRU8UYno","Jack in the Box","3.5","1744","https://locations.jackinthebox.com/us/tx/austin/6133-e-ben-white-blvd?utm_source=google&utm_medium=local&utm_campaign=google-local","6133 E Ben White Blvd, Austin, TX 78741, USA","30.211580400000003","-97.7133116"
"ChIJKQnUIK62RIYRD6xV6pF8XzY","Waffle House","4","4000","https://locations.wafflehouse.com/austin-tx-1623","7809 E Ben White Blvd, Austin, TX 78744, USA","30.218427100000003","-97.68808829999999"
"ChIJURYD6cKxRIYR_HUr4XFQCSU","Whataburger","3.6","1045","https://locations.whataburger.com/tx/austin/2901-spirit-of-texas-dr-100.html/?utm_source=yextpages&utm_medium=locallistings&utm_campaign=yextpages","2901 Spirit of Texas Dr #100, Austin, TX 78719, USA","30.2110427","-97.667131"
"ChIJj4-McMi2RIYRizeK83OilLo","P. Terry's Burger Stand","4.3","1347","https://pterrys.com/","1551 E Hwy 71, Austin, TX 78742, USA","30.2221434","-97.67462289999999"
"ChIJlaczX662RIYR8StfQ7acvRc","Starbucks Coffee Company","4.1","1032","https://www.starbucks.com/store-locator/store/10649/","7709 E Ben White Blvd, Austin, TX 78744, USA","30.2177","-97.68997"
"ChIJq1HlW662RIYRoUC70bBpgB4","Javi's Best Of Tex Mex","4.3","1862","http://javistexmex.com/","7709 E Ben White Blvd, Austin, TX 78744, USA","30.2177331","-97.68980499999999"
"ChIJg_VXwq62RIYRoyejhFoyIEY","Denny's","4.1","4631","https://locations.dennys.com/TX/AUSTIN/248535?utm_source=G&utm_medium=organic&utm_campaign=DAC","7619 E Ben White Blvd, Austin, TX 78741, USA","30.2172074","-97.6917916"
"ChIJi9xk67u2RIYRIgdjJ1YAokE","Las Diosas Men's Club","3.8","118","http://www.lasdiosasatx.com/","745 S Hwy 183, Austin, TX 78741, USA","30.2342196","-97.6832161"
"ChIJ53aopN-1RIYRNxZKMt-TZEc","Domino's Pizza","3.4","629","https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps_menutest","720 Old Bastrop Hwy Ste 101, Austin, TX 78741, USA","30.2337472","-97.6854559"
